t,step,label,ts
570,19,19_cb_advances,1757768176143396239
571,19,19_cb_advances,1757768176156180237
572,19,19_cb_advances,1757768176169336099
573,19,19_cb_advances,1757768176180107904
574,19,19_cb_advances,1757768176192143302
575,19,19_cb_advances,1757768176203524134
576,19,19_cb_advances,1757768176215843100
577,19,19_cb_advances,1757768176227322446
578,19,19_cb_advances,1757768176240032002
579,19,19_cb_advances,1757768176253287928
580,19,19_cb_advances,1757768176263969406
581,19,19_cb_advances,1757768176273641356
582,19,19_cb_advances,1757768176285158506
583,19,19_cb_advances,1757768176296382544
584,19,19_cb_advances,1757768176307725023
585,19,19_cb_advances,1757768176318550033
586,19,19_cb_advances,1757768176330104917
587,19,19_cb_advances,1757768176343227120
588,19,19_cb_advances,1757768176354419664
589,19,19_cb_advances,1757768176365743203
590,19,19_cb_advances,1757768176376748720
591,19,19_cb_advances,1757768176387894186
592,19,19_cb_advances,1757768176399677926
593,19,19_cb_advances,1757768176409331743
594,19,19_cb_advances,1757768176422502352
595,19,19_cb_advances,1757768176433937281
596,19,19_cb_advances,1757768176442275296
597,19,19_cb_advances,1757768176452646247
598,19,19_cb_advances,1757768176465041751
599,19,19_cb_advances,1757768176475238083
600,19,19_cb_advances,1757768176488086776
601,19,19_cb_advances,1757768176500662056
602,19,19_cb_advances,1757768176511345718
603,19,19_cb_advances,1757768176523337426
604,19,19_cb_advances,1757768176533613041
605,19,19_cb_advances,1757768176544246107
606,19,19_cb_advances,1757768176557973259
607,19,19_cb_advances,1757768176572341868
608,19,19_cb_advances,1757768176582450796
609,19,19_cb_advances,1757768176596036229
610,19,19_cb_advances,1757768176604531952
611,19,19_cb_advances,1757768176615061082
612,19,19_cb_advances,1757768176626908763
613,19,19_cb_advances,1757768176637745363
614,19,19_cb_advances,1757768176650310209
615,19,19_cb_advances,1757768176660125927
616,19,19_cb_advances,1757768176669995462
617,19,19_cb_advances,1757768176678898980
618,19,19_cb_advances,1757768176689072082
619,19,19_cb_advances,1757768176699688721
620,19,19_cb_advances,1757768176711432628
621,19,19_cb_advances,1757768176722503525
622,19,19_cb_advances,1757768176733663527
623,19,19_cb_advances,1757768176745719989
624,19,19_cb_advances,1757768176756043788
625,19,19_cb_advances,1757768176766975283
626,19,19_cb_advances,1757768176776930950
627,19,19_cb_advances,1757768176786684262
628,19,19_cb_advances,1757768176797257438
629,19,19_cb_advances,1757768176807233634
630,19,19_cb_advances,1757768176818392741
631,19,19_cb_advances,1757768176828656858
632,19,19_cb_advances,1757768176841788577
633,19,19_cb_advances,1757768176852829705
634,19,19_cb_advances,1757768176863553295
635,19,19_cb_advances,1757768176876643625
636,19,19_cb_advances,1757768176888298719
637,19,19_cb_advances,1757768176899361506
638,19,19_cb_advances,1757768176910208710
639,19,19_cb_advances,1757768176921494381
640,19,19_cb_advances,1757768176934345944
641,19,19_cb_advances,1757768176945986952
642,19,19_cb_advances,1757768176958521092
643,19,19_cb_advances,1757768176969534581
644,19,19_cb_advances,1757768176978975812
645,19,19_cb_advances,1757768176991782065
646,19,19_cb_advances,1757768177002498425
647,19,19_cb_advances,1757768177014207166
648,19,19_cb_advances,1757768177026599997
649,19,19_cb_advances,1757768177037979883
650,19,19_cb_advances,1757768177047776230
651,19,19_cb_advances,1757768177059170865
652,19,19_cb_advances,1757768177068793568
653,19,19_cb_advances,1757768177078924121
654,19,19_cb_advances,1757768177090717925
655,19,19_cb_advances,1757768177099816742
656,19,19_cb_advances,1757768177111615388
657,19,19_cb_advances,1757768177123371045
658,19,19_cb_advances,1757768177133783821
659,19,19_cb_advances,1757768177143188491
660,19,19_cb_advances,1757768177154156467
661,19,19_cb_advances,1757768177165067136
662,19,19_cb_advances,1757768177176414137
663,19,19_cb_advances,1757768177187912551
664,19,19_cb_advances,1757768177199044632
665,19,19_cb_advances,1757768177210476010
666,19,19_cb_advances,1757768177223082956
667,19,19_cb_advances,1757768177234317347
668,19,19_cb_advances,1757768177244442168
669,19,19_cb_advances,1757768177253932676
670,19,19_cb_advances,1757768177266063148
671,19,19_cb_advances,1757768177275701932
672,19,19_cb_advances,1757768177285727209
673,19,19_cb_advances,1757768177296450772
674,19,19_cb_advances,1757768177305997369
675,19,19_cb_advances,1757768177316336820
676,19,19_cb_advances,1757768177327752624
677,19,19_cb_advances,1757768177339039127
678,19,19_cb_advances,1757768177350783318
679,19,19_cb_advances,1757768177367835606
680,19,19_cb_advances,1757768177380424674
681,19,19_cb_advances,1757768177394024304
682,19,19_cb_advances,1757768177406030505
683,19,19_cb_advances,1757768177418696251
684,19,19_cb_advances,1757768177431381489
685,19,19_cb_advances,1757768177441827083
686,19,19_cb_advances,1757768177453470418
687,19,19_cb_advances,1757768177463277771
688,19,19_cb_advances,1757768177473935572
689,19,19_cb_advances,1757768177484044176
690,19,19_cb_advances,1757768177495505214
691,19,19_cb_advances,1757768177507073222
692,19,19_cb_advances,1757768177518091346
693,19,19_cb_advances,1757768177529770630
694,19,19_cb_advances,1757768177538970843
695,19,19_cb_advances,1757768177549451399
696,19,19_cb_advances,1757768177559498608
697,19,19_cb_advances,1757768177570522803
